"TIME","INPUT","OUTPUT"
0.6177206,0,0.00114989
0.61837596,0,0.00115104
0.61968668,0,0.00115335
0.62230812,0,0.00115797
0.627551,0,0.00116703
0.63803676,0,0.00118514
0.65900828,0,0.00122006
0.70095132,0,0.00128559
0.7848374,0,0.00140228
0.909837375,0,0.00154144
0.909837385,0,0.00154144
0.909837405,0,0.00154144
0.909837445,0,0.00154144
0.909837525,0,0.00154144
0.909837685,0,0.00154144
0.909838005,0,0.00154144
0.909838645,0,0.00154144
0.909839925,0,0.00154144
0.909842485,0,0.00154144
0.909847605,0,0.00154145
0.909857845,0,0.00154146
0.909878325,0,0.00154148
0.909919285,0,0.00154152
0.910001205,0,0.0015416
0.910165045,0,0.00154176
0.910492725,0,0.00154208
0.911148085,0,0.00154272
0.912458805,0,0.001544
0.915080245,0,0.00154656
0.920323125,0,0.00155159
0.930808885,0,0.00156163
0.951780405,0,0.00158098
0.993723445,0,0.00161731
1.077609525,0,0.00168201
1.2026095,0,0.00175916
1.20260951,0,0.00175916
1.20260953,0,0.00175916
1.20260957,0,0.00175916
1.20260965,0,0.00175916
1.20260981,0,0.00175916
1.20261013,0,0.00175916
1.20261077,0,0.00175916
1.20261205,0,0.00175916
1.20261461,0,0.00175916
1.20261973,0,0.00175917
1.20262997,0,0.00175917
1.20265045,0,0.00175918
1.20269141,0,0.0017592
1.20277333,0,0.00175925
1.20293717,0,0.00175934
1.20326485,0,0.00175951
1.20392021,0,0.00175987
1.20523093,0,0.00176057
1.20785237,0,0.00176199
1.21309525,0,0.00176481
1.22358101,0,0.00177024
1.24455253,0,0.00178108
1.28649557,0,0.00180123
1.37038165,0,0.00183709
1.495381625,0,0.00187986
1.495381635,0,0.00187986
1.495381655,0,0.00187986
1.495381695,0,0.00187986
1.495381775,0,0.00187986
1.495381935,0,0.00187986
1.495382255,0,0.00187987
1.495382895,0,0.00187987
1.495384175,0,0.00187987
1.495386735,0,0.00187987
1.495391855,0,0.00187987
1.495402095,0,0.00187987
1.495422575,0,0.00187988
1.495463535,0,0.00187989
1.495545455,0,0.00187991
1.495709295,0,0.00187996
1.496036975,0,0.00188006
1.496692335,0,0.00188026
1.498003055,0,0.00188065
1.500624495,0,0.00188143
1.505867375,0,0.001883
1.516353135,0,0.00188601
1.537324655,0,0.00189202
1.579267695,0,0.00190319
1.663153775,0,0.00192307
1.78815375,0,0.00194679
1.78815376,0,0.00194679
1.78815378,0,0.00194679
1.78815382,0,0.00194679
1.7881539,0,0.00194679
1.78815406,0,0.00194679
1.78815438,0,0.00194679
1.78815502,0,0.00194679
1.7881563,0,0.00194679
1.78815886,0,0.00194679
1.78816398,0,0.00194679
1.78817422,0,0.00194679
1.7881947,0,0.00194679
1.78823566,0,0.0019468
1.78831758,0,0.00194681
1.78848142,0,0.00194684
1.7888091,0,0.00194689
1.78946446,0,0.001947
1.79077518,0,0.00194722
1.79339662,0,0.00194765
1.7986395,0,0.00194851
1.80912526,0,0.00195023
1.83009678,0,0.00195339
1.87203982,0,0.00195972
1.9559259,0,0.00197074
2.080925875,0,0.00198389
2.080925885,0,0.00198389
2.080925905,0,0.00198389
2.080925945,0,0.00198389
2.080926025,0,0.00198389
2.080926185,0,0.00198389
2.080926505,0,0.00198389
2.080927145,0,0.00198389
2.080928425,0,0.00198389
2.080930985,0,0.00198389
2.080936105,0,0.00198389
2.080946345,0,0.00198389
2.080966825,0,0.00198389
2.081007785,0,0.00198389
2.081089705,0,0.0019839
2.081253545,0,0.00198392
2.081581225,0,0.00198395
2.082236585,0,0.00198401
2.083547305,0,0.00198412
2.086168745,0,0.00198436
2.091411625,0,0.00198484
2.101897385,0,0.00198579
2.122868905,0,0.00198755
2.164811945,0,0.00199105
2.248698025,0,0.00199717
2.373698,0,0.00200446
